sortOrder,titulo,categorias,referencia,preco,id,
0,Adaptador Angular 90º - AA090,Acessórios para Reposição,CMIAA090,,product-1781,
10,Armação Plus - Suporte p/ Aplicador de Cera ou Mop Pó 40 cm - AL400,Acessórios,CMIAL400,,product-1533,
20,Armação Plus - Suporte p/ Mop Pó 60 cm - AL600,Acessórios,CMIAL600,,product-1535,
30,Armação Profi - Suporte p/ Mop Pó - AP1200,Acessórios,CMIAP1200,,product-1587,
40,Armação Profi - Suporte p/ Mop Pó - AP600,Acessórios,CMIAP600,,product-1585,
50,Bac Mop Profissional,Variedades,CMIBMPF,,product-143,
60,Balde 15 Litros - BA15xx,Baldes,CMIBA15xx,,product-241,
70,Balde 25 Litros - BA25xx,Baldes,CMIBA25xx,,product-243,
80,Balde 4 Litros - BA04xx,Baldes,CMIBA04xx,,product-239,
90,Balde com Tela Plástica e Tampa para Fechamento,Equipamentos de Limpeza / Baldes,CMIBF200,,product-291,
100,Balde Espremedor 2 Águas 33L - BE33PF,Baldes,CMIBE33PF,,product-1809,
110,Balde Espremedor Doblô 20L Standard B20S,Equipamentos de Limpeza / Baldes,CMIB20S,,product-321,
120,Balde Espremedor Doblô 30 Litros NY108,Equipamentos de Limpeza / Baldes,CMINY108,,product-221,
130,Balde Espremedor Doblô Flex 20 Litros B20F,Equipamentos de Limpeza / Baldes,CMIB20F,,product-315,
140,Balde Mopinho 12 Litros - Azul - BE50AZ,Baldes,CMIBE50AZ,,product-249,
150,"Balde Plástico com Centrífuga em Inox, Mop e Cabo 360º Mop Pro 380898",Equipamentos de Limpeza / Baldes,CMI380898,,product-727,
160,"Cabo de Alumínio Estriado com Rosca 1,40m - Azul",Cabos,CMICE140,,product-1723,
170,"Cabo de Alumínio Fosco com Ponteira 1,40m",Cabos,CMICP140,,product-1753,
180,"Cabo de Alumínio Liso Fosco sem Rosca 1,40m",Cabos,CMICL140,,product-1553,
190,Carro Arrumadeira Bolonha,Equipamentos de Limpeza,CMINY215,,product-175,
200,Carro Bancada NY102,Equipamentos de Limpeza,CMINY102,,product-219,
210,Carro Bandeja NY103,Equipamentos de Limpeza,CMINY103,,product-285,
220,Carro Cuba 400L + Tampa,Carro Cuba,CMICT400,,product-199,
230,Carro Cuba 400L C400,Equipamentos de Limpeza / Carro Cuba,CMIC400,,product-193,
240,Carro Cuba com Estrutura Metálica,Equipamentos de Limpeza / Carro Cuba,CMIEM,,product-257,
250,Carro Cuba com Estrutura Metálica + Tampa Bi Partida,Carro Cuba,CMIEMT,,product-203,
260,Carro de Limpeza Guard Hospitalar Hosp 100 - Comali,Carro Prateleira,CMIHOSP100,,product-1379,
270,Carro de Limpeza Guard Hospitalar Hosp 101 - Comali,Carro Prateleira,CMIHOSP101,,product-1381,
280,Carro de Limpeza Guard Hospitalar Hosp 102 - Comali,Carro Prateleira,CMIHOSP102,,product-1383,
290,Carro Extra I Aberto C/ 1 Bolsa - Amarela CE01AM,Equipamentos de Limpeza,CMICE01AM,,product-179,
300,Carro Extra I C/ Fechamento Lateral C/ 1 Bolsa Amarela CH01AM,Equipamentos de Limpeza,CMICH01AM,,product-183,
310,Carro Extra I C/ Fechamento Lateral C/ 1 Bolsa e Portas - Amarela CA01AM,Equipamentos de Limpeza,CMICA01AM,,product-185,
320,Carro Extra II Aberto C/ 2 Bolsas - Amarela CEAMAM,Equipamentos de Limpeza,CMICEAMAM,,product-187,
330,Carro Extra II C/ Fechamento Lateral C/ 2 Bolsas - Amarela CHAMAM,Equipamentos de Limpeza,CMICHAMAM,,product-189,acessórios
340,Carro Extra II C/ Fechamento Lateral C/ 2 Bolsas e Portas - Amarela CAAMAM,Equipamentos de Limpeza,CMICAAMAM,,product-191,
350,Carro Extra Triplex 3 prateleiras sem fechamento CE3000,Equipamentos de Limpeza,CMICE3000,,product-171,
360,Carro Extra Triplex Com Fechamento CH3000,Equipamentos de Limpeza,CMICH3000,,product-937,
370,Carro Extra Triplex Com Fechamento Lateral e Portas CA3000,Equipamentos de Limpeza,CMICA3000,,product-177,
380,Carro Funcional / Carrinho de Limpeza c/ Bolsa,Carro Funcional,CMICFP250,,product-723,
390,Carro Funcional América Carrinho de Limpeza com Bolsa de Vinil Amarela CF2005,Equipamentos de Limpeza / Carro Funcional,CMICF2005,,product-2015,
400,Carro Funcional América PAN CF200P,Equipamentos de Limpeza / Carro Funcional,CMICF200P,,product-1333,
410,Carro Funcional Guard - Carrinho de Limpeza com fechamento - Amarela - CÓD GUARDAM,Equipamentos de Limpeza / Carro Funcional,CMIGUARDAM,,product-313,
420,Carro Funcional NY Master/Compaq NY100,Equipamentos de Limpeza / Carro Funcional,CMINY100,,product-207,
430,Carro Strong Com Fechamento Lateral 4 Bandejas CH4000,Equipamentos de Limpeza,CMICH4000,,product-209,
440,Carro Strong Com Fechamento Lateral 5 Bandejas CH5000,Equipamentos de Limpeza,CMICH5000,,product-215,
450,Carro Strong Fechamento Lateral e Porta com chave - 5 Bandejas CA5000,Equipamentos de Limpeza,CMICA5000,,product-217,
460,Carro Strong Fechamento Lateral e Porta Com chave 4 Bandejas CA4000,Equipamentos de Limpeza,CMICA4000,,product-213,
470,Carro Strong sem Fechamento 4 Bandejas CE4000,Equipamentos de Limpeza,CMICE4000,,product-211,
480,Carro Strong Sem Fechamento 5 Bandejas CE5000,Equipamentos de Limpeza,CMICE5000,,product-1749,
490,Cesto Aço Inox Porta Guarda Chuva - 25 Litros,Lixeiras e Contentores,CMIKITINOXGUARD,,product-1815,
500,Cesto de inox - Porta Guarda-chuva,Lixeiras e Contentores,CMI2183,,product-2183,
510,Cesto de Lixo 14 litros sem tampa nas Cores da Coleta Seletiva,Lixeiras e Contentores / Coleta Seletiva,CMICV30,,product-147,
520,Cesto para Lixo 14 Litros sem Tampa,Lixeiras e Contentores,CMICL24,,product-1309,
530,Cesto para Lixo 23 Litros sem Tampa CL51,Lixeiras e Contentores,CMICV51,,product-165,
540,Cesto para Lixo em Aço Inox com Aro Plástico 7L,Lixeiras e Contentores / Lixeiras Inox,CMI3545,,product-1301,
550,Cesto Porta Guarda Chuva Inox Metal - 25 Litros MSP741,Lixeiras e Contentores,CMIMSP741,,product-1865,
560,Cesto Porta Guarda-chuva Inox Perfurado,Lixeiras e Contentores,CMI3547,,product-1299,
570,Cinzeiro bituqueira de inox,Lixeiras e Contentores / Cinzeiros e Bituqueiras / Lixeiras Inox,CMI2189,,product-2189,
580,Coleta Seletiva Papeleira DINA - conjunto com 4 lixeiras + suporte,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMIDINAKIT,,product-1813,
590,Conjunto 2 Lixeiras Coleta Seletiva + Base + Tampa,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMICOMALI02SR,,product-327,
610,CONJUNTO 3 LIXEIRAS COLETA SELETIVA + BASE + TAMPA,Lixeiras e Contentores,CMI2093,,product-2093,
600,Conjunto 3 Lixeiras Coleta Seletiva + Base + Tampa,Lixeiras Plástico,CMICOMALI09,,product-1789,
620,Conjunto Balde Espremedor Doblô 50 litros NY104,Equipamentos de Limpeza / Baldes / Acessórios,CMINY104,,product-231,
630,Conjunto Coleta Seletiva 4 lixeiras 50 Litros com Suporte Metálico,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMIKTLX50PL,,product-1519,
640,Conjunto Coleta Seletiva 4 Lixeiras 50 Lts e Base com Rodas,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMICOMALI04CR,,product-1877,
650,Conjunto Coleta Seletiva 4 Lixeiras 50 Lts e Base sem Rodas,,CMICOMALI04SR,,product-129,
660,Conjunto Coleta Seletiva c/ 4 Lixeiras de 50 Litros + Base (Com rodas ou Sem rodas),Lixeiras e Contentores,CMI2081,,product-2081,
670,Conjunto de 2 lixeiras para Coleta Seletiva com tampa e módulo,Lixeiras e Contentores / Lixeiras Plástico / Coleta Seletiva,CMILS52,,product-2095,
680,"Conjunto de Limpeza Mopinho - Balde, Mop (bruxa) e Cabo",Baldes,CMICJ50AZ,,product-311,
690,Container de Lixo Hospitalar 1000 Litros C/Pedal Branco,Com Pedal,CMICP1000H,,product-195,
700,Contentor de Lixo 1000 Litros COM PEDAL,Lixeiras e Contentores / Com Pedal,CMICP1000,,product-115,
710,Contentor de Lixo 1000 Litros SEM PEDAL,Lixeiras e Contentores / Sem Pedal,CMIC1000,,product-1525,
720,Contentor de lixo 120 Litros,Lixeiras e Contentores,CMIC120-,,product-141,
730,Contentor de lixo 120 litros com Pedal,Lixeiras e Contentores / Com Pedal,CMICP12,,product-2017,
740,Contentor de Lixo 120 Litros COM PEDAL,Lixeiras e Contentores / Com Pedal,CMICP120,,product-121,
750,Contentor de Lixo 120 litros SEM PEDAL,Lixeiras e Contentores / Sem Pedal,CMIC120,,product-1527,
760,Contentor de Lixo 240 litros,Lixeiras e Contentores,CMIC240-,,product-293,
770,Contentor de lixo 240 Litros COM PEDAL,Lixeiras e Contentores / Com Pedal,CMICP240,,product-123,
780,Contentor de Lixo 240 Litros com Pedal,Lixeiras e Contentores / Com Pedal,CMICP24,,product-2019,
790,Contentor de lixo 240 litros SEM PEDAL,Lixeiras e Contentores / Sem Pedal,CMIC240,,product-127,
800,Contentor de Lixo 360 Litros COM PEDAL,Lixeiras e Contentores / Com Pedal,CMICP360,,product-125,
810,Contentor de Lixo 360 Litros SEM PEDAL,Lixeiras e Contentores / Sem Pedal,CMIC360,,product-805,
820,Contentor de Lixo 700 Litros COM PEDAL,Lixeiras e Contentores / Com Pedal,CMICP700,,product-155,
830,Contentor de lixo 700 litros SEM PEDAL,Lixeiras e Contentores / Sem Pedal,CMIC700,,product-119,
840,Contentor de Lixo Hospitalar 660 litros c/Pedal,Com Pedal,CMICP700H,,product-29,
850,Contentor Hospitalar 120 litros c/Pedal (coletor de resíduos) Branco,Com Pedal,CMICP120H,,product-27,
860,Contentor Hospitalar 240 litros c/Pedal (coletor de resíduos) Branco,Com Pedal,CMICP240H,,product-31,
870,Contentor Hospitalar 360 litros c/ c Pedal Branco,Com Pedal,CMICP360H,,product-35,
880,CÓPIA - Lixeira Inox coleta seletiva - redonda com tampa basculante,Lixeiras e Contentores / Lixeiras Inox,CMI2195,,product-2195,
890,Desinfetante Concentrado 5L Marine,Produtos Químicos Concentrados,CMI3795,,product-2029,
900,Detergente e Desincrustante Alcalino Clorado Concentrado Espuma Clor 1L,Produtos Químicos Concentrados,CMI3295,,product-2035,
910,Detergente e Desincrustante Alcalino Clorado Concentrado Espuma Clor 5 Litros,Produtos Químicos Concentrados,CMI3290,,product-1773,
920,Detergente Multiuso Concentrado 1L - 1000 Plus,Produtos Químicos Concentrados,CMI2062,,product-2037,
930,Detergente Multiuso NEUTRO Concentrado - 1000 Plus,Produtos Químicos Concentrados,CMI2067,,product-2025,
940,Dispenser 3x1 - Higiênico Rolinho - Cai Cai - Toalha Interfolhas,Dispensers,CMIDIMMT,,product-1389,
950,Dispenser Copo Água 180/200ml em Aço com Pintura Epoxi Branco,Dispenser Copos / Dispensers,CMIAUR180,,product-339,
960,Dispenser Copo Café 50ml em Aço c/ Pintura em Epoxi Branco - AUR50,Dispensers / Dispenser Copos,CMIAUR50,,product-337,
970,Dispenser de Água com Regulador de Saída,Dispenser Copos,CMIDPCD,,product-2031,
980,Dispenser de Fio de Dental Biofio,Dispensers / Dispenser Plástico,CMI1621,,product-415,
990,Dispenser De Papel Higiênico com suporte para cadeado 400m Em Aço com Pintura Epóxi,Dispensers,CMI1093,,product-1757,
1000,Dispenser Múltiplo para Papel Toalha Interfolhado ou Higiênico Cai Cai - Urban Glass Azul,Dispenser Plástico,CMIC19286,,product-57,
1010,Dispenser Múltiplo para Papel Toalha Interfolhado ou Higiênico Cai Cai Urban C19284,Dispensers / Papel Toalha Interfolhado / Dispenser Plástico,CMIC19284,,product-113,
1020,Dispenser p/ Papel Higiênico Rolão Linha Preto - 19634,Papel Higiênico Rolão,CMIC19634,,product-95,
1030,Dispenser p/ Papel Toalha Bobina Autocorte,Papel Toalha Bobina,CMILITB200,,product-429,
1040,Dispenser p/ Papel Toalha Interfolhado 2 ou 3 Dobras em Aço Inox - TI2825I,Papel Toalha Interfolhado,CMITI2825I,,product-345,
1050,Dispenser p/ Papel Toalha Interfolhado 2 ou 3 Dobras em Epoxi Branco,Papel Toalha Interfolhado,CMI2825,,product-335,
1060,Dispenser Papel Higiênico Rolão,Dispensers / Papel Higiênico Rolão / Dispenser Plástico,CMIC19650,,product-445,
1070,Dispenser Papel Higiênico Rolão 800 mts Aço Inox C/ Suporte p/ Cadeado 598C,Dispensers / Papel Higiênico Rolão,CMI598C,,product-343,
1080,Dispenser Papel Higiênico Rolão aço inox 400m 596,Dispensers / Papel Higiênico Rolão,CMI596,,product-797,
1090,Dispenser Papel Higiênico Rolão aço inox 400m com suporte p/ Cadeado 596C,Dispensers / Papel Higiênico Rolão,CMI596C,,product-1373,
1100,Dispenser Papel Toalha,Dispensers / Dispenser Plástico,CMIC19533,,product-105,
1110,Dispenser para Copos DE ÁGUA Descartáveis em Aço Inox,Dispensers / Dispenser Copos,CMIMSP058,,product-1847,
1120,Dispenser para Copos de ÁGUA Poupa Copos (150/180/200ml) - 28988,Dispensers / Dispenser Plástico / Dispenser Copos,CMI28988,,product-1259,
1130,Dispenser para Copos de Café com Regulador de Saída,Dispenser Copos / Dispenser Plástico,CMIDPCAF,,product-2033,
1140,Dispenser para Copos DE CAFÉ Descartáveis 50ml em Inox,Dispensers / Dispenser Copos,CMIMSP059,,product-1845,
1150,Dispenser para Copos Descartáveis em Acrílico - Água,Dispensers / Dispenser Copos,CMIMSP025,,product-1851,
1160,Dispenser para copos descartáveis em acrílico - Café - MSP026,Dispenser Copos / Dispensers,CMIMSP026,,product-1849,
1170,Dispenser para Fio Dental + Refil,Dispenser Plástico,CMIMFPERS.MF400,,product-737,
1180,Dispenser para Fio Dental Personal,Dispensers,CMImfpers,,product-1329,
1190,Dispenser para Papel Higiênico Rolão 400m em Aço com Pintura Epoxi Branco,Papel Higiênico Rolão / Dispensers,CMI595,,product-333,
1200,Dispenser para Papel Higiênico Rolão Dark,Dispenser Plástico / Papel Higiênico Rolão,CMIC19434,,product-75,
1210,Dispenser para Papel Toalha Interfolhado Dark,Dispenser Plástico / Papel Toalha Interfolhado,CMIC19530,,product-87,
1220,Dispenser para Papel Toalha Interfolhado ou Higienico Cai Cai - Urban Glass Verde,Papel Toalha Interfolhado,CMIC19285,,product-51,
1230,Dispenser para Sabonete Líquido 400ml Compacta Urban,Dispensers / Sabonete Líquido / Dispenser Plástico,CMIC19302,,product-1523,
1240,Dispenser para Sabonete Líquido 400ml Cristal Infinity Midy Box,Sabonete Líquido,CMILICL400,,product-1631,
1250,Dispenser para Sabonete Líquido com Reservatório Dark,Dispenser Plástico / Sabonete Líquido,CMIC19423C19120,,product-71,
1260,Dispenser Poupa Copos p/ Copos de Café Descartáveis 50 ml 32324,Dispenser Copos / Dispenser Plástico / Dispensers,CMI32298,,product-1263,
1270,Dispenser Sabonete Líquido ou Álcool Gel C19428,Dispensers / Sabonete Líquido / Dispenser Plástico,CMIC19428,,product-109,
1280,Embalador de Guarda Chuva em Inox,Dispensers,CMI17124,,product-1765,
1290,Embalador de Guarda Chuva em Inox,Dispensers,CMI2193,,product-2193,
1300,Escova Aérea p/ Tubo - ET603,Acessórios para Reposição,CMIET603,,product-1779,
1310,Escova Suporte LT Limpeza Pesada,Acessórios,CMISE60xx,,product-277,
1320,Escova Suporte LT Macia,Acessórios,CMISE70xx,,product-279,
1330,Espanador Eletrostático Cabo Simples,Acessórios,CMIEE605AZ,,product-145,
1340,Estrutura Metálica para Fixação de Coletores 50L,,CMIETM50,,product-1327,
1350,Extensão Telescópica,Cabos,CMIEX,,product-331,
1360,Guia Removível GRXXX,Acessórios,CMIGRXXX,,product-1871,
1370,"Haste Euro p/ Mop Úmido Garra em Plástico Azul c/ Cabo de Aluminio Fosco 1,40cm",Acessórios,CMIHE211,,product-1551,
1380,indisponivel ls52,,CMILS52,,product-153,
1390,Kit Balde Espremedor Doblô Flex 20 Litros,Equipamentos de Limpeza / Baldes,CMI2129,,product-2129,
1400,Kit de Dispenser em aço inox - LINHA NOBLE,Dispenser Inox,CMIKT3,,product-1763,
1410,Kit de Dispenser em aço inox - LINHA NOBLE - saboneteira Slim,Dispensers,CMI2187,,product-2187,
1420,Kit de Dispenser em aço inox - Linha Quadra,Dispenser Inox,,,product-2185,
1430,Kit de Dispenser Plástico Linha Ag+ Rolão,Dispenser Plástico,CMIKTAGRMAIS,,product-1405,
1440,Kit Dispenser Linha Ag+ Cai Cai,Dispenser Plástico,CMIKTAGMAIS,,product-1401,
1450,Kit Master p/ Limpeza de Vidros,,CMIKT903,,product-297,
1460,Kit Plus p/ Limpeza de Vidros,Equipamentos de Limpeza,CMIKT904,,product-299,
1470,Kit Profissional - Balde Espremedor Completo para Limpeza NYKT01 - KIT 1,Equipamentos de Limpeza / Baldes,CMINYKT01,,product-309,
1480,Kit Profissional Balde Espremedor 50L Completo para Limpeza NYKT02 - KIT 2,Equipamentos de Limpeza / Baldes,CMINYKT02,,product-307,
1490,Kit Profissional Carrinho de Limpeza Completo NYKT03 KIT 3,Equipamentos de Limpeza,CMINYKT03,,product-1821,
1500,Kit Profissional para Limpeza de Vidros,,CMIkt901,,product-1755,
1510,Lâminas 4 cm p/ Raspador de Segurança -10 unidades - LR801,Acessórios,CMILR801,,product-1577,
1520,Lâminas p/ Raspadores 10cm Multiuso - 10 unidades - LR800A,Acessórios,CMILR800A,,product-1725,
1530,Limpador de Vidros,,CMILCXXX,,product-1607,
1540,Lixeira 100 Litros com Pedal e Rodas,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP11,,product-675,
1550,Lixeira 100 Litros com Pedal sem rodas,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMICP10,,product-319,
1560,Lixeira 100 Lts com Pedal,Lixeiras e Contentores / Lixeiras Plástico / Com Pedal,CMILPF100,,product-701,
